Name	Sport	Date	Start time	Duration	Total distance (km)	Average heart rate (bpm)	Average speed (km/h)	Max speed (km/h)	Average pace (min/km)	Max pace (min/km)	Calories	Fat percentage of calories(%)	Average cadence (rpm)	Average stride length (cm)	Running index	Training load	Ascent (m)	Descent (m)	Notes	Height (cm)	Weight (kg)	HR max	HR sit	VO2max
My name	RUNNING	22.07.2017	09:19:30	01:29:30	12.71	125	8.5	12.8	07:03	04:41	620	32	84		53	131	303	303		160	54	169	49	43
Sample rate	Time	HR (bpm)	Speed (km/h)	Pace (min/km)	Cadence	Altitude (m)	Stride length (m)	Distances (m)	Temperatures (C)	Power (W)														
1	00:00:00	82	3.3	18:11	0	1073		0.1	29.7															
	00:00:01	82	3.3	18:11	0	1073		0.1	29.3															
	00:00:02	82	3.6	16:40	0	1073		0.1	29.5															
	00:00:03	82	4.1	14:38	0	1073		0.7	29.6															
	00:00:04	82	4.5	13:20	0	1073		1.9	29.6															
	00:00:05	82	5.1	11:46	0	1073		3.3	29.5															
	00:00:06	84	5.2	11:32	0	1073		5.1	29.5															
	00:00:07	84	5.4	11:07	0	1073		6.9	29.3															
	00:00:08	85	5.8	10:21	24	1073		9	29.4															
	00:00:09	86	6.1	09:50	66	1073		11.4	29.5															
	00:00:10	87	6.5	09:14	77	1073		14	29.5															
	00:00:11	88	6.8	08:49	77	1073		16.6	29.3															
	00:00:12	89	7.1	08:27	81	1073		19.1	29.5															
	00:00:13	90	7.4	08:06	82	1073		21.8	29.4															
	00:00:14	90	7.6	07:54	82	1074		24.5	29.3															
	00:00:15	90	7.8	07:42	82	1074		27	29.4															
	00:00:16	90	7.9	07:36	82	1074		29.7	29.1															
	00:00:17	93	7.9	07:36	81	1074		31.9	29.3															
	00:00:18	93	8	07:30	81	1073		34.3	29.2															
	00:00:19	95	8.1	07:24	82	1073		36.7	29.4															
	00:00:20	95	8.1	07:24	82	1073		39	29															
	00:00:21	95	8.1	07:24	82	1073		41.5	29.4															
	00:00:22	95	8.2	07:19	82	1073		43.9	29.2															
