Schadstoff: Temperature (TEMP)
Hourly means
winter time
Unit: °C
Source:: NABEL/MeteoSchweiz, provisional data
Date/time;Lausanne-César-Roux;Jungfraujoch
04.10.2017 01:00;12.2;-4.0
04.10.2017 02:00;11.8;-3.0
04.10.2017 03:00;11.6;-2.4
04.10.2017 04:00;11.7;-1.9
04.10.2017 05:00;11.7;-1.7
04.10.2017 06:00;11.6;-1.8
04.10.2017 07:00;11.8;-1.7
04.10.2017 08:00;12.4;-1.7
04.10.2017 09:00;12.1;-1.4
04.10.2017 10:00;12.7;-2.4
04.10.2017 11:00;13.7;-2.2
04.10.2017 12:00;14.7;-1.4
04.10.2017 13:00;14.8;-1.3
04.10.2017 14:00;15.1;-1.4
04.10.2017 15:00;15.8;-1.5
04.10.2017 16:00;16.1;-1.4
04.10.2017 17:00;16.4;-1.4
04.10.2017 18:00;16.1;-1.6
04.10.2017 19:00;15.3;-1.6
04.10.2017 20:00;15.2;-2.0
04.10.2017 21:00;14.7;-1.9
04.10.2017 22:00;14.7;-1.4
04.10.2017 23:00;14.6;-1.0
05.10.2017 00:00;14.4;-0.8
05.10.2017 01:00;13.6;-0.5
05.10.2017 02:00;13.4;-0.6
05.10.2017 03:00;13.1;-0.9
05.10.2017 04:00;12.9;-1.1
05.10.2017 05:00;12.4;-0.8
05.10.2017 06:00;12.4;-0.6
05.10.2017 07:00;12.3;-0.3
05.10.2017 08:00;12.3;-0.2
05.10.2017 09:00;12.9;-0.7
05.10.2017 10:00;13.8;-1.0
05.10.2017 11:00;14.9;-1.6
05.10.2017 12:00;16.4;-1.9
05.10.2017 13:00;17.6;-1.3
05.10.2017 14:00;18.6;-1.4
05.10.2017 15:00;19.6;-1.6
05.10.2017 16:00;20.4;-2.0
05.10.2017 17:00;19.8;-2.4
05.10.2017 18:00;19.6;-2.8
05.10.2017 19:00;18.0;-3.8
05.10.2017 20:00;17.9;-4.0
05.10.2017 21:00;17.8;-4.2
05.10.2017 22:00;17.0;-4.1
05.10.2017 23:00;16.3;-3.6
06.10.2017 00:00;14.4;-3.1
06.10.2017 01:00;13.8;-3.6
06.10.2017 02:00;14.4;-4.0
06.10.2017 03:00;14.3;-4.7
06.10.2017 04:00;14.3;-5.3
